userId,authType,완료한 Stage
IDAC-320360918,SUMTOTAL,4
ID059952,SUMTOTAL,4
IDAC-224350817,SUMTOTAL,4
IDFL-00293959,SUMTOTAL,4
ID064365,SUMTOTAL,4
ID058619,SUMTOTAL,4
ID054524,SUMTOTAL,4
ID068055,SUMTOTAL,4
ID068558,SUMTOTAL,4
ID064586,SUMTOTAL,4
ID063068,SUMTOTAL,4
IDFL-00283502,SUMTOTAL,4
ID056179,SUMTOTAL,4
ID065225,SUMTOTAL,4
ID004940,SUMTOTAL,4
ID056085,SUMTOTAL,4
ID043712,SUMTOTAL,4
ID062076,SUMTOTAL,4
IDFL-0011579,SUMTOTAL,4
ID064679,SUMTOTAL,4
ID032579,SUMTOTAL,4
ID055865,SUMTOTAL,4
IDAC-87320515,SUMTOTAL,4
ID068686,SUMTOTAL,4
ID007830,SUMTOTAL,4
ID056177,SUMTOTAL,4
ID049142,SUMTOTAL,4
ID063667,SUMTOTAL,4
ID051335,SUMTOTAL,4
IDKS-81400917,SUMTOTAL,4
ID064253,SUMTOTAL,4
ID063663,SUMTOTAL,4
ID054267,SUMTOTAL,4
ID068129,SUMTOTAL,4
ID042976,SUMTOTAL,4
ID044607,SUMTOTAL,4
ID054732,SUMTOTAL,4
ID066985,SUMTOTAL,4
ID052547,SUMTOTAL,4
IDFL-0005290,SUMTOTAL,4
ID057066,SUMTOTAL,4
ID062216,SUMTOTAL,4
ID068461,SUMTOTAL,4
ID050159,SUMTOTAL,4
ID057970,SUMTOTAL,4
IDAC-319200818,SUMTOTAL,4
ID052332,SUMTOTAL,4
ID067609,SUMTOTAL,4
ID065313,SUMTOTAL,4
ID047990,SUMTOTAL,4
ID049246,SUMTOTAL,4
ID066003,SUMTOTAL,4
ID062103,SUMTOTAL,4
ID065992,SUMTOTAL,4
IDAC-283770318,SUMTOTAL,4
ID059833,SUMTOTAL,4
ID051680,SUMTOTAL,4
ID059977,SUMTOTAL,4
ID062075,SUMTOTAL,4
ID041577,SUMTOTAL,4
ID051999,SUMTOTAL,4
ID065912,SUMTOTAL,4
ID055749,SUMTOTAL,4
ID066451,SUMTOTAL,4
ID066293,SUMTOTAL,4
ID056984,SUMTOTAL,4
ID045804,SUMTOTAL,4
ID067907,SUMTOTAL,4
ID067787,SUMTOTAL,4
ID068010,SUMTOTAL,4
ID054722,SUMTOTAL,4
ID060989,SUMTOTAL,4
ID044929,SUMTOTAL,4
ID060447,SUMTOTAL,4
ID068872,SUMTOTAL,4
ID068741,SUMTOTAL,4
ID066460,SUMTOTAL,4
ID068028,SUMTOTAL,4
ID045350,SUMTOTAL,4
ID058981,SUMTOTAL,4
ID054689,SUMTOTAL,4
ID033891,SUMTOTAL,4
ID066062,SUMTOTAL,4
ID063659,SUMTOTAL,4
ID068514,SUMTOTAL,4
ID065986,SUMTOTAL,4
ID030770,SUMTOTAL,4
ID067821,SUMTOTAL,4
ID066910,SUMTOTAL,4
ID067899,SUMTOTAL,4
ID063566,SUMTOTAL,4
ID068314,SUMTOTAL,4
ID060849,SUMTOTAL,4
ID060516,SUMTOTAL,4
ID066762,SUMTOTAL,4
ID068581,SUMTOTAL,4
ID053345,SUMTOTAL,4
ID066286,SUMTOTAL,4
ID052843,SUMTOTAL,4
ID045224,SUMTOTAL,4
IDFL-00267137,SUMTOTAL,4
ID057743,SUMTOTAL,4
IDAC-154940517,SUMTOTAL,4
ID068219,SUMTOTAL,4
IDKS-37411116,SUMTOTAL,4
ID063600,SUMTOTAL,3
ID064301,SUMTOTAL,4
ID059280,SUMTOTAL,4
ID049953,SUMTOTAL,4
ID037909,SUMTOTAL,4
ID050258,SUMTOTAL,4
ID060712,SUMTOTAL,4
ID065656,SUMTOTAL,4
ID059969,SUMTOTAL,4
ID009839,SUMTOTAL,4
ID062158,SUMTOTAL,4
IDKS-62540317,SUMTOTAL,4
ID057994,SUMTOTAL,4
ID055928,SUMTOTAL,4
ID047964,SUMTOTAL,4
ID065228,SUMTOTAL,4
ID051098,SUMTOTAL,4
ID026968,SUMTOTAL,4
ID068172,SUMTOTAL,4
ID059919,SUMTOTAL,3
ID060554,SUMTOTAL,4
ID047213,SUMTOTAL,4
ID031016,SUMTOTAL,4
IDFL-0001198,SUMTOTAL,4
ID037660,SUMTOTAL,4
ID038051,SUMTOTAL,3
ID057123,SUMTOTAL,4
ID057885,SUMTOTAL,4
ID053014,SUMTOTAL,4
ID068075,SUMTOTAL,4
ID067845,SUMTOTAL,4
ID048042,SUMTOTAL,4
ID064101,SUMTOTAL,4
IDFL-00293755,SUMTOTAL,4
ID060987,SUMTOTAL,4
ID061503,SUMTOTAL,4
ID058712,SUMTOTAL,4
IDFL-00290205,SUMTOTAL,4
ID052645,SUMTOTAL,4
ID050508,SUMTOTAL,4
IDAC-144870417,SUMTOTAL,4
ID048031,SUMTOTAL,4
IDKS-35620716,SUMTOTAL,4
ID052728,SUMTOTAL,4
ID067266,SUMTOTAL,4
ID061559,SUMTOTAL,4
ID027394,SUMTOTAL,4
ID060763,SUMTOTAL,4
IDAC-117660716,SUMTOTAL,4
ID032409,SUMTOTAL,4
ID047891,SUMTOTAL,4
ID048804,SUMTOTAL,4
ID050494,SUMTOTAL,4
ID060231,SUMTOTAL,4
ID068454,SUMTOTAL,4
ID027545,SUMTOTAL,4
ID033286,SUMTOTAL,4
ID043356,SUMTOTAL,4
ID064495,SUMTOTAL,4
ID036441,SUMTOTAL,4
ID050134,SUMTOTAL,4
IDFL-00285274,SUMTOTAL,4
ID035073,SUMTOTAL,4
ID039792,SUMTOTAL,4
ID051845,SUMTOTAL,4
ID058863,SUMTOTAL,4
ID005402,SUMTOTAL,4
ID068807,SUMTOTAL,4
ID067002,SUMTOTAL,4
ID067317,SUMTOTAL,4
ID068869,SUMTOTAL,4
ID065207,SUMTOTAL,4
ID030269,SUMTOTAL,4
ID061488,SUMTOTAL,4
ID067788,SUMTOTAL,4
ID068867,SUMTOTAL,4
ID066170,SUMTOTAL,4
ID000236,SUMTOTAL,4
ID064646,SUMTOTAL,4
ID045161,SUMTOTAL,4
ID066965,SUMTOTAL,4
IDAC-157410517,SUMTOTAL,4
ID064478,SUMTOTAL,4
ID060129,SUMTOTAL,4
ID067936,SUMTOTAL,4
ID049527,SUMTOTAL,4
IDAC-296580418,SUMTOTAL,4
ID061804,SUMTOTAL,4
IDFL-00292870,SUMTOTAL,4
IDFL-00269358,SUMTOTAL,4
ID028855,SUMTOTAL,4
IDAC-323400918,SUMTOTAL,4
ID037831,SUMTOTAL,4
ID041164,SUMTOTAL,4
ID064826,SUMTOTAL,4
ID066683,SUMTOTAL,4
